date,securities_trader_id,securities_trader,stock_id,buy_volume,sell_volume,buy_amount,sell_amount,net_volume,net_amount
2026-07-15,111B,台企建成,030551,156000,0,182400.0,0.0,156000,182400.0
2026-07-15,111B,台企建成,030606,0,250000,0.0,520000.0,-250000,-520000.0
2026-07-15,111B,台企建成,031805,30000,0,48300.0,0.0,30000,48300.0
2026-07-15,111B,台企建成,033549,410000,0,270300.0,0.0,410000,270300.0
2026-07-15,111B,台企建成,047102,65000,0,74750.0,0.0,65000,74750.0
2026-07-15,111B,台企建成,048373,13000,0,4500.0,0.0,13000,4500.0
2026-07-15,111B,台企建成,053054,4000,0,2000.0,0.0,4000,2000.0
2026-07-15,111B,台企建成,056811,10000,0,11900.0,0.0,10000,11900.0
2026-07-15,111B,台企建成,059245,60000,0,105000.0,0.0,60000,105000.0
2026-07-15,111B,台企建成,063041,10000,0,19900.0,0.0,10000,19900.0
2026-07-15,111B,台企建成,069237,30000,0,168000.0,0.0,30000,168000.0
2026-07-15,538Y,第一中壢,03120T,20000,0,14600.0,0.0,20000,14600.0
2026-07-15,538Y,第一中壢,036868,0,3000,0.0,18600.0,-3000,-18600.0
2026-07-15,538Y,第一中壢,037151,0,100000,0.0,1000.0,-100000,-1000.0
2026-07-15,538Y,第一中壢,040615,3000,0,6840.0,0.0,3000,6840.0
2026-07-15,538Y,第一中壢,047685,0,1000,0.0,13900.0,-1000,-13900.0
2026-07-15,538Y,第一中壢,050309,0,1000,0.0,4800.0,-1000,-4800.0
2026-07-15,538Y,第一中壢,053668,2000,0,17600.0,0.0,2000,17600.0
2026-07-15,538Y,第一中壢,055614,0,33000,0.0,33000.0,-33000,-33000.0
2026-07-15,538Y,第一中壢,055696,8000,0,12120.0,0.0,8000,12120.0
2026-07-15,538Y,第一中壢,055946,249000,0,558900.0,0.0,249000,558900.0
2026-07-15,538Y,第一中壢,057931,0,8000,0.0,1920.0,-8000,-1920.0
2026-07-15,538Y,第一中壢,059651,10000,0,13700.0,0.0,10000,13700.0
2026-07-15,538Y,第一中壢,060103,5000,10000,9950.0,16900.0,-5000,-6950.0
2026-07-15,538Y,第一中壢,061821,117000,0,88350.0,0.0,117000,88350.0
2026-07-15,538Y,第一中壢,064535,0,10000,0.0,37000.0,-10000,-37000.0
2026-07-15,538Y,第一中壢,064686,110000,0,298000.0,0.0,110000,298000.0
2026-07-15,538Y,第一中壢,064789,30000,0,6300.0,0.0,30000,6300.0
2026-07-15,538Y,第一中壢,065022,0,1000,0.0,910.0,-1000,-910.0
2026-07-15,538Y,第一中壢,065958,40000,0,187200.0,0.0,40000,187200.0
2026-07-15,538Y,第一中壢,066190,1000,0,1650.0,0.0,1000,1650.0
2026-07-15,538Y,第一中壢,066226,0,2000,0.0,2510.0,-2000,-2510.0
2026-07-15,538Y,第一中壢,066290,5000,2000,19390.0,7850.0,3000,11540.0
2026-07-15,538Y,第一中壢,066311,10000,0,3300.0,0.0,10000,3300.0
2026-07-15,538Y,第一中壢,066722,0,10000,0.0,3300.0,-10000,-3300.0
2026-07-15,538Y,第一中壢,066730,0,20000,0.0,13800.0,-20000,-13800.0
2026-07-15,538Y,第一中壢,067185,0,21000,0.0,23940.0,-21000,-23940.0
2026-07-15,538Y,第一中壢,067456,120000,0,546400.0,0.0,120000,546400.0
2026-07-15,538Y,第一中壢,067743,376000,0,1443850.0,0.0,376000,1443850.0
2026-07-15,538Y,第一中壢,067814,1000,0,4540.0,0.0,1000,4540.0
2026-07-15,538Y,第一中壢,068464,7000,0,11160.0,0.0,7000,11160.0
2026-07-15,538Y,第一中壢,069245,5000,1000,8100.0,1680.0,4000,6420.0
2026-07-15,538Y,第一中壢,069290,11000,0,10670.0,0.0,11000,10670.0
2026-07-15,538Y,第一中壢,069945,7000,0,21200.0,0.0,7000,21200.0
2026-07-15,538Y,第一中壢,070158,0,50000,0.0,29500.0,-50000,-29500.0
2026-07-15,538Y,第一中壢,070589,60000,0,136300.0,0.0,60000,136300.0
2026-07-15,538Y,第一中壢,072022,0,1000,0.0,8250.0,-1000,-8250.0
2026-07-15,538Y,第一中壢,072500,2000,0,13650.0,0.0,2000,13650.0
2026-07-15,538Y,第一中壢,072548,0,1000,0.0,3650.0,-1000,-3650.0
2026-07-15,538Y,第一中壢,072552,1000,0,2680.0,0.0,1000,2680.0
2026-07-15,538Y,第一中壢,072712,0,4000,0.0,13240.0,-4000,-13240.0
2026-07-15,538Y,第一中壢,073143,20000,0,18600.0,0.0,20000,18600.0
2026-07-15,538Y,第一中壢,073219,10000,0,10500.0,0.0,10000,10500.0
2026-07-15,538Y,第一中壢,073602,5000,0,10450.0,0.0,5000,10450.0
2026-07-15,538Y,第一中壢,073660,30000,38000,25000.0,28740.0,-8000,-3740.0
2026-07-15,538Y,第一中壢,073966,6000,0,14890.0,0.0,6000,14890.0
2026-07-15,538Y,第一中壢,074084,5000,0,13100.0,0.0,5000,13100.0
2026-07-15,538Y,第一中壢,074667,1000,0,4090.0,0.0,1000,4090.0
2026-07-15,538Y,第一中壢,075045,10000,0,11200.0,0.0,10000,11200.0
2026-07-15,538Y,第一金中壢,703267,1000,0,860.0,0.0,1000,860.0
2026-07-15,538Y,第一金中壢,704846,13000,0,10400.0,0.0,13000,10400.0
2026-07-15,538Y,第一金中壢,706934,0,7000,0.0,19250.0,-7000,-19250.0
2026-07-15,538Y,第一金中壢,707711,0,3000,0.0,6240.0,-3000,-6240.0
2026-07-15,538Y,第一金中壢,707750,0,6000,0.0,7740.0,-6000,-7740.0
2026-07-15,538Y,第一金中壢,707765,4000,0,10300.0,0.0,4000,10300.0
2026-07-15,538Y,第一金中壢,709030,7000,0,11800.0,0.0,7000,11800.0
2026-07-15,538Y,第一金中壢,709276,0,45000,0.0,19800.0,-45000,-19800.0
2026-07-15,538Y,第一金中壢,709652,5000,0,11350.0,0.0,5000,11350.0
2026-07-15,538Y,第一金中壢,709717,3000,3000,8650.0,7800.0,0,850.0
2026-07-15,538Y,第一金中壢,709918,40000,0,74800.0,0.0,40000,74800.0
2026-07-15,538Y,第一金中壢,709984,5000,0,11350.0,0.0,5000,11350.0
2026-07-15,538Y,第一金中壢,710086,7000,0,11290.0,0.0,7000,11290.0
2026-07-15,538Y,第一金中壢,710270,8000,0,10290.0,0.0,8000,10290.0
2026-07-15,538Y,第一金中壢,710668,4000,2000,14660.0,5860.0,2000,8800.0
2026-07-15,538Y,第一金中壢,710801,0,10000,0.0,6650.0,-10000,-6650.0
2026-07-15,538Y,第一金中壢,710910,0,8000,0.0,21440.0,-8000,-21440.0
2026-07-15,538Y,第一金中壢,710965,0,5000,0.0,9000.0,-5000,-9000.0
2026-07-15,538Y,第一金中壢,711095,4000,0,8090.0,0.0,4000,8090.0
2026-07-15,538Y,第一金中壢,711155,1000,0,2220.0,0.0,1000,2220.0
2026-07-15,5853,統一中壢,048923,0,1000,0.0,16300.0,-1000,-16300.0
2026-07-15,5853,統一中壢,051212,14000,0,1400.0,0.0,14000,1400.0
2026-07-15,5853,統一中壢,056075,5000,0,10400.0,0.0,5000,10400.0
2026-07-15,5853,統一中壢,057531,3000,0,2160.0,0.0,3000,2160.0
2026-07-15,5853,統一中壢,058285,0,5000,0.0,15800.0,-5000,-15800.0
2026-07-15,5853,統一中壢,060050,0,2000,0.0,12250.0,-2000,-12250.0
2026-07-15,5853,統一中壢,060576,0,1000,0.0,3600.0,-1000,-3600.0
2026-07-15,5853,統一中壢,066072,30000,0,54900.0,0.0,30000,54900.0
2026-07-15,5853,統一中壢,066174,10000,0,28400.0,0.0,10000,28400.0
2026-07-15,5853,統一中壢,067639,10000,0,16000.0,0.0,10000,16000.0
2026-07-15,5853,統一中壢,068002,9000,0,16020.0,0.0,9000,16020.0
2026-07-15,5853,統一中壢,069133,3000,0,5380.0,0.0,3000,5380.0
2026-07-15,5853,統一中壢,069290,57000,0,50700.0,0.0,57000,50700.0
2026-07-15,5853,統一中壢,069459,0,20000,0.0,30000.0,-20000,-30000.0
2026-07-15,5853,統一中壢,069793,20000,0,34400.0,0.0,20000,34400.0
2026-07-15,5853,統一中壢,072223,5000,0,14300.0,0.0,5000,14300.0
2026-07-15,5853,統一中壢,074217,10000,0,23800.0,0.0,10000,23800.0
2026-07-15,5853,統一中壢,075287,20000,0,29000.0,0.0,20000,29000.0
2026-07-15,5853,統一中壢,075625,0,1000,0.0,20000.0,-1000,-20000.0
2026-07-15,5853,統一中壢,706868,0,3000,0.0,4980.0,-3000,-4980.0
2026-07-15,5853,統一中壢,708593,30000,0,24600.0,0.0,30000,24600.0
2026-07-15,5853,統一中壢,710457,20000,0,27520.0,0.0,20000,27520.0
2026-07-15,585Q,統一三多,033567,0,70000,0.0,48300.0,-70000,-48300.0
2026-07-15,585Q,統一三多,03615T,0,8000,0.0,8880.0,-8000,-8880.0
2026-07-15,585Q,統一三多,052779,10000,0,7800.0,0.0,10000,7800.0
2026-07-15,585Q,統一三多,056633,1000,0,2730.0,0.0,1000,2730.0
2026-07-15,585Q,統一三多,057907,0,10000,0.0,73500.0,-10000,-73500.0
2026-07-15,585Q,統一三多,058375,0,60000,0.0,72000.0,-60000,-72000.0
2026-07-15,585Q,統一三多,059264,25000,0,22500.0,0.0,25000,22500.0
2026-07-15,585Q,統一三多,059494,99000,0,88110.0,0.0,99000,88110.0
2026-07-15,585Q,統一三多,061399,10000,0,2800.0,0.0,10000,2800.0
2026-07-15,585Q,統一三多,062391,100000,0,313000.0,0.0,100000,313000.0
2026-07-15,585Q,統一三多,062639,10000,0,17700.0,0.0,10000,17700.0
2026-07-15,585Q,統一三多,062686,0,300000,0.0,237000.0,-300000,-237000.0
2026-07-15,585Q,統一三多,063094,0,160000,0.0,634330.0,-160000,-634330.0
2026-07-15,585Q,統一三多,063169,0,150000,0.0,978000.0,-150000,-978000.0
2026-07-15,585Q,統一三多,063685,0,1510000,0.0,1479800.0,-1510000,-1479800.0
2026-07-15,585Q,統一三多,063692,0,400000,0.0,836000.0,-400000,-836000.0
2026-07-15,585Q,統一三多,063952,0,20000,0.0,38800.0,-20000,-38800.0
2026-07-15,585Q,統一三多,064299,50000,0,107200.0,0.0,50000,107200.0
2026-07-15,585Q,統一三多,065074,50000,0,42000.0,0.0,50000,42000.0
2026-07-15,585Q,統一三多,065350,50000,0,40000.0,0.0,50000,40000.0
2026-07-15,585Q,統一三多,065427,20000,0,10600.0,0.0,20000,10600.0
2026-07-15,585Q,統一三多,065459,25000,50000,50000.0,102000.0,-25000,-52000.0
2026-07-15,585Q,統一三多,066459,0,50000,0.0,54500.0,-50000,-54500.0
2026-07-15,585Q,統一三多,066625,5000,0,2450.0,0.0,5000,2450.0
2026-07-15,585Q,統一三多,066975,10000,0,10800.0,0.0,10000,10800.0
2026-07-15,585Q,統一三多,067148,0,20000,0.0,65000.0,-20000,-65000.0
2026-07-15,585Q,統一三多,067677,0,36000,0.0,34920.0,-36000,-34920.0
2026-07-15,585Q,統一三多,068659,75000,0,115500.0,0.0,75000,115500.0
2026-07-15,585Q,統一三多,068789,10000,0,5900.0,0.0,10000,5900.0
2026-07-15,585Q,統一三多,068797,40000,40000,45500.0,44350.0,0,1150.0
