出表日期,交易日期,權證代號,權證名稱,成交金額,成交數量
"1150529","1150529","739045","M31元大59購01","5130.00","3000"
"1150529","1150529","739053","旺矽元大59購01","0.00","0"
"1150529","1150529","726119","華星光統一5B購01","0.00","0"
"1150529","1150529","725881","鈊象元富5A購01","2200.00","22000"
"1150529","1150529","735789","良維元大57購01","0.00","0"
"1150529","1150529","735646","久禾光統一57購01","23260.00","232000"
"1150529","1150529","735647","久禾光統一61購01","13800.00","60000"
"1150529","1150529","735648","久禾光統一63購01","0.00","0"
"1150529","1150529","735649","中美晶統一57購01","26900.00","10000"
"1150529","1150529","735650","台特化統一59購01","0.00","0"
"1150529","1150529","735651","弘塑統一57購01","11040.00","3000"
"1150529","1150529","735652","長佳智統一57購01","0.00","0"
"1150529","1150529","735653","信立統一57購01","0.00","0"
"1150529","1150529","735654","信紘科統一5A購01","66270.00","107000"
"1150529","1150529","735656","桓達統一57購01","17220.00","171000"
"1150529","1150529","735657","彩富統一56購01","0.00","0"
"1150529","1150529","735658","彩富統一5B購01","14400.00","40000"
"1150529","1150529","735659","彩富統一61購01","0.00","0"
"1150529","1150529","735909","振曜元富57購01","0.00","0"
"1150529","1150529","735660","彩富統一63購01","0.00","0"
"1150529","1150529","735661","富喬統一5A購01","0.00","0"
"1150529","1150529","735662","晶焱統一57購01","362250.00","334000"
"1150529","1150529","735663","智冠統一57購01","0.00","0"
"1150529","1150529","735664","意德士統一57購01","3880.00","4000"
"1150529","1150529","735665","意德士統一61購01","64600.00","68000"
"1150529","1150529","735666","精材統一57購01","0.00","0"
"1150529","1150529","735675","綠界*元富57購01","0.00","0"
"1150529","1150529","735917","宏捷科統一57購02","0.00","0"
"1150529","1150529","735918","宏觀統一57購02","0.00","0"
"1150529","1150529","735919","旺矽統一56購04","0.00","0"
"1150529","1150529","735920","欣銓統一57購01","0.00","0"
"1150529","1150529","735921","南俊統一57購02","0.00","0"
"1150529","1150529","735922","茂迪統一57購02","0.00","0"
"1150529","1150529","735923","創惟統一59購01","0.00","0"
"1150529","1150529","707130","頎邦富邦61購01","0.00","0"
"1150529","1150529","707132","聚和富邦5A購01","6760.00","11000"
"1150529","1150529","707133","正淩統一63購01","173970.00","160000"
"1150529","1150529","739635","均豪富邦56購01","0.00","0"
"1150529","1150529","739639","大宇資統一5C購01","42610.00","153000"
"1150529","1150529","739640","中光電統一59購03","0.00","0"
"1150529","1150529","739641","台燿統一64購01","0.00","0"
"1150529","1150529","739642","弘塑統一5C購01","0.00","0"
"1150529","1150529","739643","合晶統一5B購01","501390.00","111000"
"1150529","1150529","739644","合晶統一5C購02","33280.00","12000"
"1150529","1150529","739645","均豪統一5C購01","14810.00","36000"
"1150529","1150529","739646","昇佳電統一5C購01","0.00","0"
"1150529","1150529","739703","德微國票56購01","8600.00","1000"
"1150529","1150529","739704","環球晶國票57購01","52300.00","6000"
"1150529","1150529","72325U","環球晶國票57售02","1800.00","36000"
"1150529","1150529","739709","環球晶富邦59購01","324350.00","61000"
"1150529","1150529","700043","新應材永豐59購01","61140.00","72000"
"1150529","1150529","700047","宏捷科凱基59購01","2270.00","1000"
"1150529","1150529","700054","雙鴻凱基56購03","1690.00","4000"
"1150529","1150529","700079","華義永豐5A購01","0.00","0"
"1150529","1150529","700086","博智群益5A購01","0.00","0"
"1150529","1150529","72375U","大宇資群益58售01","0.00","0"
"1150529","1150529","72377U","旺矽群益58售01","0.00","0"
"1150529","1150529","72378U","原相群益58售01","0.00","0"
"1150529","1150529","72379U","振曜群益58售01","0.00","0"
"1150529","1150529","72382U","鴻呈群益58售01","0.00","0"
"1150529","1150529","72383U","雙鴻群益58售01","0.00","0"
"1150529","1150529","700092","中光電凱基58購01","0.00","0"
"1150529","1150529","700103","中光電元大5A購01","450.00","5000"
"1150529","1150529","700113","雙鴻元大5A購01","7080.00","7000"
"1150529","1150529","700180","東洋群益56購01","0.00","0"
"1150529","1150529","72392U","雍智群益56售01","0.00","0"
"1150529","1150529","700184","M31統一58購03","10350.00","15000"
